,Area,Element,Item,Unit,Value,kg_per_animal,animal
56,Afghanistan,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1800.0,180.0,"Meat of camels, fresh or chilled"
59,Afghanistan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1571.0,157.1,cattle
62,Afghanistan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8049.0,0.8049000000000001,chicken
65,Afghanistan,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,130.0,13.0,goat
68,Afghanistan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,152.0,15.2,sheep
287,Albania,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1187.0,118.7,cattle
290,Albania,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,15345.0,1.5345,chicken
293,Albania,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,118.0,11.8,goat
296,Albania,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,648.0,64.8,pig
299,Albania,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,145.0,14.5,sheep
302,Albania,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,70000.0,7.0,"Meat of turkeys, fresh or chilled"
544,Algeria,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1128.0,112.8,horse
560,Algeria,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1451.0,145.1,"Meat of camels, fresh or chilled"
563,Algeria,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2332.0,233.2,cattle
566,Algeria,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10112.0,1.0112,chicken
569,Algeria,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,100.0,10.0,goat
572,Algeria,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,388.0,38.8,pig
575,Algeria,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,10000.0,1.0,"Meat of rabbits and hares, fresh or chilled"
578,Algeria,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,191.0,19.1,sheep
581,Algeria,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,49907.0,4.9907,"Meat of turkeys, fresh or chilled"
789,Angola,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1664.0,166.4,cattle
792,Angola,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10263.0,1.0263,chicken
795,Angola,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,155.0,15.5,goat
798,Angola,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,865.0,86.5,pig
801,Angola,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,158.0,15.8,sheep
941,Antigua and Barbuda,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1591.0,159.1,cattle
944,Antigua and Barbuda,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,12000.0,1.2,chicken
947,Antigua and Barbuda,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,159.0,15.9,goat
950,Antigua and Barbuda,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,506.0,50.6,pig
953,Antigua and Barbuda,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,159.0,15.9,sheep
1127,Argentina,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,2288.0,228.8,horse
1152,Argentina,Yield/Carcass Weight,"Meat of asses, fresh or chilled",100,1575.0,157.5,"Meat of asses, fresh or chilled"
1155,Argentina,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2321.0,232.1,cattle
1158,Argentina,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,30850.0,3.085,chicken
1161,Argentina,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,26527.0,2.6527000000000003,duck
1164,Argentina,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,30000.0,3.0,"Meat of geese, fresh or chilled"
1167,Argentina,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,66.0,6.6,goat
1170,Argentina,Yield/Carcass Weight,"Meat of mules, fresh or chilled",100,2042.0,204.2,"Meat of mules, fresh or chilled"
1173,Argentina,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,944.0,94.4,pig
1176,Argentina,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,15656.0,1.5656,"Meat of rabbits and hares, fresh or chilled"
1179,Argentina,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,204.0,20.4,sheep
1182,Argentina,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,47792.0,4.7791999999999994,"Meat of turkeys, fresh or chilled"
1417,Armenia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1206.0,120.6,cattle
1420,Armenia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10853.0,1.0853,chicken
1423,Armenia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,133.0,13.3,goat
1426,Armenia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,787.0,78.7,pig
1431,Armenia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,148.0,14.8,sheep
1650,Australia,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,2630.0,263.0,horse
1678,Australia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3071.0,307.1,cattle
1681,Australia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,19511.0,1.9511,chicken
1684,Australia,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,21391.0,2.1391,duck
1687,Australia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,170.0,17.0,goat
1690,Australia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,802.0,80.2,pig
1693,Australia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,252.0,25.2,sheep
1696,Australia,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,33736.0,3.3736,"Meat of turkeys, fresh or chilled"
1955,Austria,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3288.0,328.8,cattle
1958,Austria,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,94.0,9.4,goat
1961,Austria,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,974.0,97.4,pig
1964,Austria,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,202.0,20.2,sheep
2178,Azerbaijan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1118.0,111.8,cattle
2181,Azerbaijan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,11800.0,1.18,chicken
2184,Azerbaijan,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,520.0,52.0,pig
2187,Azerbaijan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,146.0,14.6,sheep
2387,Bahamas,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1700.0,170.0,cattle
2390,Bahamas,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,11624.0,1.1624,chicken
2393,Bahamas,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,117.0,11.7,goat
2396,Bahamas,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,500.0,50.0,pig
2399,Bahamas,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,140.0,14.0,sheep
2533,Bahrain,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1960.0,196.0,"Meat of camels, fresh or chilled"
2536,Bahrain,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1200.0,120.0,cattle
2539,Bahrain,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8661.0,0.8661,chicken
2542,Bahrain,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,150.0,15.0,goat
2545,Bahrain,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,180.0,18.0,sheep
2711,Bangladesh,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,800.0,80.0,buffalo
2714,Bangladesh,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,723.0,72.3,cattle
2717,Bangladesh,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,6999.0,0.6999000000000001,chicken
2720,Bangladesh,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,10000.0,1.0,duck
2723,Bangladesh,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,70.0,7.0,goat
2726,Bangladesh,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,73.0,7.3,sheep
2939,Barbados,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2070.0,207.0,cattle
2942,Barbados,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,15724.0,1.5724,chicken
2945,Barbados,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,140.0,14.0,goat
2948,Barbados,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,791.0,79.1,pig
2951,Barbados,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,353.0,35.3,sheep
2954,Barbados,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,61364.0,6.136400000000001,"Meat of turkeys, fresh or chilled"
3084,Belarus,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1548.0,154.8,horse
3099,Belarus,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2374.0,237.4,cattle
3102,Belarus,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,12001.0,1.2001000000000002,chicken
3105,Belarus,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,19857.0,1.9857,duck
3108,Belarus,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,803.0,80.3,pig
3111,Belarus,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,21891.0,2.1891,"Meat of rabbits and hares, fresh or chilled"
3114,Belarus,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,151.0,15.1,sheep
3310,Belgium,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3154.0,315.4,cattle
3313,Belgium,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,14843.0,1.4843000000000002,chicken
3316,Belgium,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,34315.0,3.4315,duck
3319,Belgium,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,168.0,16.8,goat
3322,Belgium,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,981.0,98.1,pig
3325,Belgium,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,221.0,22.1,sheep
3506,Belize,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2041.0,204.1,cattle
3509,Belize,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,17180.0,1.718,chicken
3512,Belize,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,14000.0,1.4,duck
3515,Belize,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,120.0,12.0,goat
3518,Belize,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,544.0,54.4,pig
3521,Belize,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,202.0,20.2,sheep
3524,Belize,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,58226.0,5.8226,"Meat of turkeys, fresh or chilled"
3690,Benin,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2093.0,209.3,cattle
3693,Benin,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,5500.0,0.55,chicken
3696,Benin,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,88.0,8.8,goat
3699,Benin,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,255.0,25.5,pig
3702,Benin,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,305.0,30.5,sheep
3919,Bhutan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1030.0,103.0,cattle
3922,Bhutan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,11467.0,1.1467,chicken
3925,Bhutan,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,73.0,7.3,goat
3928,Bhutan,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,307.0,30.7,pig
3931,Bhutan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,286.0,28.6,sheep
4187,Bolivia (Plurinational State of),Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1976.0,197.6,cattle
4190,Bolivia (Plurinational State of),Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,32769.0,3.2769,chicken
4193,Bolivia (Plurinational State of),Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,29551.0,2.9551000000000003,duck
4196,Bolivia (Plurinational State of),Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,201.0,20.1,goat
4199,Bolivia (Plurinational State of),Yield/Carcass Weight,"Meat of other domestic camelids, fresh or chilled",100,443.0,44.3,"Meat of other domestic camelids, fresh or chilled"
4202,Bolivia (Plurinational State of),Yield/Carcass Weight,"Meat of other domestic rodents, fresh or chilled",0.1,3000.0,0.3,"Meat of other domestic rodents, fresh or chilled"
4205,Bolivia (Plurinational State of),Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,546.0,54.6,pig
4208,Bolivia (Plurinational State of),Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,6400.0,0.64,"Meat of rabbits and hares, fresh or chilled"
4211,Bolivia (Plurinational State of),Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,192.0,19.2,sheep
4456,Bosnia and Herzegovina,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,2348.0,234.8,horse
4473,Bosnia and Herzegovina,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2378.0,237.8,cattle
4476,Bosnia and Herzegovina,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,15876.0,1.5876000000000001,chicken
4484,Bosnia and Herzegovina,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,755.0,75.5,pig
4488,Bosnia and Herzegovina,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,155.0,15.5,sheep
4491,Bosnia and Herzegovina,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,111016.0,11.101600000000001,"Meat of turkeys, fresh or chilled"
4653,Botswana,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2000.0,200.0,cattle
4656,Botswana,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,5813.0,0.5813,chicken
4659,Botswana,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,119.0,11.9,goat
4662,Botswana,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,411.0,41.1,pig
4665,Botswana,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,18000.0,1.8,"Meat of rabbits and hares, fresh or chilled"
4668,Botswana,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,140.0,14.0,sheep
4833,Brazil,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1308.0,130.8,horse
4858,Brazil,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2450.0,245.0,cattle
4861,Brazil,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,23772.0,2.3772,chicken
4864,Brazil,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,8861.0,0.8861,duck
4867,Brazil,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,115.0,11.5,goat
4870,Brazil,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,918.0,91.8,pig
4873,Brazil,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,13415.0,1.3415,"Meat of rabbits and hares, fresh or chilled"
4876,Brazil,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,160.0,16.0,sheep
4879,Brazil,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,106757.0,10.6757,"Meat of turkeys, fresh or chilled"
5106,Brunei Darussalam,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,2379.0,237.9,buffalo
5109,Brunei Darussalam,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2558.0,255.8,cattle
5112,Brunei Darussalam,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,15461.0,1.5461,chicken
5115,Brunei Darussalam,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,12000.0,1.2,duck
5118,Brunei Darussalam,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,100.0,10.0,goat
5121,Brunei Darussalam,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,319.0,31.9,pig
5124,Brunei Darussalam,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,213.0,21.3,sheep
5302,Bulgaria,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1547.0,154.7,cattle
5305,Bulgaria,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,18009.0,1.8009000000000002,chicken
5308,Bulgaria,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,36032.0,3.6032,duck
5311,Bulgaria,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,122.0,12.2,goat
5314,Bulgaria,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,686.0,68.6,pig
5317,Bulgaria,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,136.0,13.6,sheep
5507,Burkina Faso,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1517.0,151.7,horse
5523,Burkina Faso,Yield/Carcass Weight,"Meat of asses, fresh or chilled",100,600.0,60.0,"Meat of asses, fresh or chilled"
5526,Burkina Faso,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,3711.0,371.1,"Meat of camels, fresh or chilled"
5529,Burkina Faso,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1049.0,104.9,cattle
